num,beer_num,beer_name,brewery,style,abv,ibu,ph_act,ph_V,alc_gas,turb_V
8,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.34,3.15,559,4.22
9,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.32,3.15,561,4.21
10,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.33,3.15,560,4.22
11,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.32,3.15,560,4.22
12,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.33,3.15,562,4.22
13,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.32,3.15,561,4.22
14,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,562,4.22
15,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.31,3.15,562,4.22
16,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,562,4.22
17,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.32,3.15,560,4.22
18,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.31,3.15,559,4.22
19,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,561,4.22
20,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,563,4.22
21,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,563,4.22
22,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,562,4.22
23,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,557,4.22
24,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,561,4.22
25,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.3,3.15,562,4.22
1,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,570,4.26
2,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,566,4.27
3,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,568,4.27
4,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.26
5,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,573,4.26
6,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,573,4.26
7,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.26
8,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.25
9,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,573,4.25
10,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.25
11,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,574,4.25
12,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.25
13,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.25
14,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,573,4.25
15,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.25
16,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,571,4.26
17,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.25
18,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,573,4.25
19,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,570,4.25
20,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,572,4.25
21,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,570,4.25
22,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,571,4.25
23,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,570,4.25
24,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,571,4.25
25,51,Legend,Fremont Brewing Co. ,IPA,7.0,60,4.88,3.09,570,4.26
