num,beer_num,beer_name,brewery,style,abv,ibu,ph_act,ph_V,alc_gas,turb_V,ntu,,r,g,b,c
10,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.04,3.07,555,1.24,3000,,,,,
11,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.99,3.08,557,1.24,3000,,,,,
12,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.96,3.08,557,1.07,3000,,,,,
13,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.92,3.08,558,0.69,3000,,,,,
14,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.88,3.09,558,0.68,3000,,,,,
15,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.88,3.09,558,0.83,3000,,,,,
16,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.83,3.1,558,1.08,3000,,,,,
17,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.82,3.1,559,1.43,3000,,,,,
18,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.79,3.1,562,1.29,3000,,,,,
19,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.79,3.1,561,1.27,3000,,,,,
20,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.75,3.1,562,2.73,2973.97,,,,,
21,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.74,3.11,564,2.08,3000,,,,,
22,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.72,3.11,559,1.38,3000,,,,,
23,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,4.71,3.11,555,1.33,3000,,,,,
1,31,Fat Tire,New Belgium,Ale,5.2,15,5.27,3.05,552,0.76,3000,,,,,
2,31,Fat Tire,New Belgium,Ale,5.2,15,5.27,3.05,558,1.95,3000,,,,,
3,31,Fat Tire,New Belgium,Ale,5.2,15,5.23,3.05,559,2.24,3000,,,,,
4,31,Fat Tire,New Belgium,Ale,5.2,15,5.23,5.05,561,1.99,3000,,,,,
5,31,Fat Tire,New Belgium,Ale,5.2,15,5.2,3.05,556,2,3000,,,,,
6,31,Fat Tire,New Belgium,Ale,5.2,15,5.18,3.06,558,0.66,3000,,,,,
7,31,Fat Tire,New Belgium,Ale,5.2,15,5.18,3.06,551,0.65,3000,,,,,
8,31,Fat Tire,New Belgium,Ale,5.2,15,5.18,3.06,553,0.75,3000,,,,,
9,31,Fat Tire,New Belgium,Ale,5.2,15,5.17,3.06,557,1.05,3000,,,,,
10,31,Fat Tire,New Belgium,Ale,5.2,15,5.14,3.06,557,1.98,3000,,,,,
11,31,Fat Tire,New Belgium,Ale,5.2,15,5.14,3.06,561,1.86,3000,,,,,
12,31,Fat Tire,New Belgium,Ale,5.2,15,5.14,3.06,556,1.52,3000,,,,,
13,31,Fat Tire,New Belgium,Ale,5.2,15,5.14,3.06,555,1.51,3000,,,,,
14,31,Fat Tire,New Belgium,Ale,5.2,15,5.12,3.06,557,1.82,3000,,,,,
15,31,Fat Tire,New Belgium,Ale,5.2,15,5.09,3.07,560,2.55,3003.69,,,,,
16,31,Fat Tire,New Belgium,Ale,5.2,15,5.09,3.07,560,3.78,1339.99,,,,,
